model,n_features,n_splits,scorer,outliers,scores
LinearRegression,8,5,r2_score,no,"[-3.96039013e+01 -9.25823815e-01 -7.07790849e-02 -7.89799395e-01
 -3.96262967e+02]"
LinearRegression,8,5,mae,yes,[-0.51517612 -1.0686573  -0.57005963 -1.44948055 -1.23778691]
LinearRegression,8,5,mae,no,[-0.24734811 -0.86162879 -0.64182888 -1.61655516 -0.83947399]
LinearRegression,8,5,mse,yes,"[3.27668430e+02 1.15505415e+00 4.86038975e-01 5.73973618e-01
 4.16684202e+03]"
LinearRegression,8,5,mse,no,"[3.96039013e+01 9.25823815e-01 7.07790849e-02 7.89799395e-01
 3.96262967e+02]"
LinearRegression,9,5,r2_score,yes,"[-3.62390332e+02 -1.14905640e+00 -4.42075649e-01 -5.46266885e-01
 -1.62981002e+04]"
LinearRegression,9,5,r2_score,no,"[-3.83255966e+01 -9.68280547e-01 -4.07909407e-02 -7.50698652e-01
 -8.82089179e+02]"
LinearRegression,9,5,mae,yes,[-0.53353155 -1.0672468  -0.57892934 -1.42547058 -3.1278112 ]
LinearRegression,9,5,mae,no,[-0.24307489 -0.87091051 -0.63479459 -1.58713377 -0.97907852]
LinearRegression,9,5,mse,yes,"[3.62390332e+02 1.14905640e+00 4.42075649e-01 5.46266885e-01
 1.62981002e+04]"
LinearRegression,9,5,mse,no,"[3.83255966e+01 9.68280547e-01 4.07909407e-02 7.50698652e-01
 8.82089179e+02]"
